order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
241202BBB68684	치유 퍼퓸 핸드크림 피스인더레인 50ml	화장품/미용>바디케어>핸드케어	15x5x5	15x5x5	0.1	15.0	5.0	5.0	50ml hand cream in a tube. Minimal packaging needed.
250424981B4ACC	뉴트로지나 데일리 립 밤 4g x5개	화장품/미용>색조메이크업>립케어	20x10x5	20x10x5	0.25	20.0	10.0	5.0	Set of 5 lip balms, each is small and light. Minimal packaging needed.
2504153D54DE8C	디올 옴므 D-Ring 벨트 85	패션 액세서리 > 벨트 > 남성 벨트 >	90x8x3	90x8x3	0.25	90.0	8.0	3.0	Belt is a flat item with minimal packaging. Estimated dimensions based on typical belt size.
250429AACD7884	최강공룡 미니특공대 렉스카이저 2단합체 변신로봇		30x20x15	30x20x15	0.8	30.0	20.0	15.0	Transforming robot toy with multiple components. Box size accommodates the assembled robot and additional parts.
25031648F5CD55	오뚜기 오쉐프 닭강정소스, 2kg, 5개	소스류	30x20x25	30x20x25	10.0	30.0	20.0	25.0	5 packs of 2kg sauce, total weight 10kg. Estimated volume based on typical packaging for bulk sauces.
250121D14EAC2B	스톰-2022 3볼 롤러볼트 블랙.골드 (엑셀테이프 4각)	스포츠/레저>볼링>볼링가방	45x35x30	45x35x30	3.5	45.0	35.0	30.0	Bowling bag designed to hold 3 balls. Estimated weight includes the bag and minimal padding.
250203D3658F09	바이오힐보 프로바이오덤 3D 리프팅 스킨케어 2종세트 (에센셜 토너 150ml + 에멀전 150ml + 리프팅 크림 15ml)	화장품/미용>스킨케어>화장품세트	20x15x6	22x17x8	0.45	22.0	17.0	8.0	Skincare set includes three bottles. Minimal padding added for packaging.
250105E28960D1	스키즈 팝업 리얼터치 포카 판매합니다!	스타굿즈 > 보이그룹 > 팬시/포토카드 >	15x10x1	15x10x1	0.03	15.0	10.0	1.0	Single photo card in minimal envelope packaging. Very light.
25051569274BEE	The 1st Album [ODYSSEY] (PACKAGE Ver.) SET		25x20x3	25x20x3	0.4	25.0	20.0	3.0	Set of two albums, packaged in a thin box. Light weight typical for K-pop albums.
250529EE028402	상수리 나무 아래 2부 미개봉 판매합니다	도서/티켓/문구 > 도서 > 시/소설 >	25x18x6	27x20x8	1.2	27.0	20.0	8.0	Set of two books in a box. Books are rigid and require padding for protection.
250328AFEA20A6	메탈카드봇S 스카이갤럽 비행기 변신 로봇 장난감 윈드러너 장착 켄타우로스 변신 로보트	출산/육아>완구/인형>작동완구>로봇	30x20x10	32x22x12	1.2	32.0	22.0	12.0	Transforming robot toy with motors and mechanisms, estimated packed size includes minimal padding.
24121087846DDA	Katey Eco Shearling Jacket [12월 말 순차 배송]		50x40x10	50x40x10	1.2	50.0	40.0	10.0	Eco shearling jacket is compressible and will ship smaller than its actual size, with minimal padding.
