order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
2511217692B250	G-DRAGON Ubermensch Official Mini Light Keyring Red - China Exclusive	accessories	20x15x5	20x15x5	0.15	20.0	15.0	5.0	Mini keyring is small but requires a padded envelope or small box for protection. Light due to plastic material.
251115E00294FD	Casio MTP-B185D-2A2V	accessories	20x15x8	20x15x8	0.25	20.0	15.0	8.0	The watch is small and requires minimal padding. Standard box size for accessories like watches.
251125534778AD	제로니 맥세이프 그립톡 홀더 스마트톡 자석 탈부착 거치대	디지털/가전>휴대폰액세서리>휴대폰거치대	10x10x3	18x15x8	0.15	18.0	15.0	8.0	The grip holder is small and lightweight, but requires a minimum box size for protection during shipping.
251125A8D2EA59	프린세스 캐치티니핑 프린세스 팩트 티니핑 프린세스팩트	장난감>인형>코디북	30x20x10	30x20x10	0.8	30.0	20.0	10.0	The product is a toy set with multiple components, requiring a box that accommodates the items and padding. Estimated weight includes the toy set and packaging.
2511238B5E5178	루미너스 아쿠아 다이렉트 대용량 갤런 세라믹 세척 코팅제 퀵디테일러 자동차 습식코팅제 관리제 4L	생활/건강>자동차용품>세차용품>도장용광택/코팅제	25x15x30	25x15x30	4.5	25.0	15.0	30.0	4L ceramic coating product in a rigid container. The box size accommodates the container and protective padding.
251125CFD8616D	(포토카드 6장 포함) BOYNEXTDOOR 보이넥스트도어 공식 응원봉 보넥도 응원봉	생활/건강>수집품>아이돌굿즈>응원봉	25x10x10	30x15x15	0.5	30.0	15.0	15.0	The lightstick is larger than typical small items and requires padding for protection. The weight accounts for the lightstick and packaging.
251124C9A34411	버디즈 보조배터리 멍몽이 카몽이 위시 세트 강아지 인형 키링 미니 4500mAh 귀여운 선물	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	20x15x10	20x15x10	0.25	20.0	15.0	10.0	Mini plush keyring figures with a battery inside. Requires a small box for protection, lightweight despite size.
251118B6F5ABB2	Ex Nihilo Blue Talisman Eau De Parfum 50ml	life	12x8x18	12x8x18	0.35	12.0	8.0	18.0	Eau de parfum bottle is compact but requires protective packaging. Fragile glass material adds weight.
25112429810652	최강공룡 미니특공대 그레이트 렉스카이저 D9 썬더티라 버닝케라	출산/육아>완구/인형>작동완구>로봇	45x35x25	45x35x25	3.8	45.0	35.0	25.0	Large robot toy with multiple components and mechanisms. Robot toys typically weigh 2-5kg due to motors and materials.
2511210079630C	버디즈 보조배터리 멍몽이 카몽이 위시 세트 강아지 인형 키링 미니 4500mAh 귀여운 선물	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	20x15x10	20x15x10	0.25	20.0	15.0	10.0	Mini plush keyring figures with a built-in power bank. Requires a small box for protection, lightweight despite the size.
251121DC9D8EDC	다트비트 DBH100 스마트 홈다트 전자다트	생활/건강>수집품>게임>다트	45x45x5	50x50x10	1.5	50.0	50.0	10.0	Electronic dartboard is relatively flat but requires padding for protection. The box size accounts for the board and additional components.
2511227707F25C	R TRUNK 953 FRAME ep.3 20인치 (37L) [5color]	가방 > 캐리어	45x35x20	47x37x22	3.5	47.0	37.0	22.0	20-inch carry-on suitcase with a capacity of 37L. Requires additional space for wheels and handle, hence the larger packed volume.
2511244987E0C3	밀워키 C12 RT 12V 충전 로터리툴 미니 전동 드릴 드라이버 만능툴 베어툴	생활/건강>공구>전동공구>충전드릴	30x10x10	35x15x15	1.2	35.0	15.0	15.0	The rotary tool is compact but requires additional space for padding and accessories. Electric tools typically have a significant weight due to internal components.
