order_id	item_id	product_id	product_version_id	title_origin	title_target	category	custom_category	site_name	product_details	product_info_details	materials	clothing_materials	hscode	thumbnail_urls	thumbnail_count	price_origin	price_krw	product_url	actual_weight	actual_dimensions	actual_d1	actual_d2	actual_d3	actual_max	actual_mid	actual_min	actual_volume_m3	actual_volume_cm3	actual_volume_L	volumetric_weight	ai_weight_kg	ai_width_cm	ai_depth_cm	ai_height_cm	ai_max	ai_mid	ai_min	ai_volume_m3	ai_volume_cm3	ai_volume_L	ai_volume_str	ai_packed_volume_str	weight_error	volume_error	max_error	mid_error	min_error	avg_dim_error	shipping_date	order_created_at	weight_range
25093078A2350E	3c4f9a93-a535-40db-8150-84b6b1f15b46	39032ac4-66a0-4f5c-8265-a375a80a9cea	528019a1-ab6a-400e-9f77-92dc07e2c418	마지셔우드 벨티드 호보	マーシャーウッドベルト付きホーボー	가방/지갑 > 여성가방 > 토트백 > 	Handbag	bungae		"マーシャーウッドのベルト付きホーボーミディアムブラックバッグです。トゥルーフィット 2-宅配便での取引は3回のみで、通常は3,000、半額は2000ドル

마지셔우드 벨티드 호보 미디엄 블랙 가방이에요
실착 2-3회

택배거래만합니다 
일반3000
반값2000"	PU Leather, Polyester, Metal		4202211090	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/528019a1-ab6a-400e-9f77-92dc07e2c418.jpg	6	150000.0	16283.0	https://m.bunjang.co.kr/products/338691490	0.78	37.0x12.5x28.5	37.0	12.5	28.5	37.0	28.5	12.5	0.01318125	13181.25	13.18125	2.197	1.1	25.0	40.0	15.0	40.0	25.0	15.0	0.015	15000.0	15.0			0.4102564102564103	0.1379800853485064	0.081081081081081	-0.1228070175438596	0.2	0.0527580211790738	2025-10-14 10:37:03	2025-10-17 14:00:20.475	0.5-1kg
250526D730770E	2461e537-dc35-410d-a2fe-6941fc5c8697	284dff30-c157-49ba-acd8-d547a14ab1d5	eb5c8688-9cad-4a39-910b-e0a0c0cead58	마지막 가격 투티에 로케백 브라운 스몰 크로커	最後の価格のトゥーティにロケバックブラウンスモールクロッカー	가방/지갑 > 여성가방 > 토트백 > 	Handbag	bungae			cow leather		4202211090	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/eb5c8688-9cad-4a39-910b-e0a0c0cead58.jpg	5	60000.0	6157.0	https://m.bunjang.co.kr/products/322998178	0.765	31.7x23.7x14.0	31.7	23.7	14.0	31.7	23.7	14.0	0.01051806	10518.06	10.518059999999998	1.753	0.8	15.0	10.0	20.0	20.0	15.0	10.0	0.003	3000.0	3.0			0.0457516339869281	-0.714776299051346	-0.3690851735015772	-0.3670886075949366	-0.2857142857142857	-0.3406293556035999	2025-06-03 13:57:57	2025-07-07 23:00:04.519	0.5-1kg
2505220F06D951	c7eb8406-5d34-4130-b955-b213dacdbcf5	75566908-786c-4a65-bc74-27a0f21599ba	6e4f1ac4-1e6f-4be8-a7ff-68f69b1aa725	[정품] 마지셔우드 소프트 토트백 푸시아 핑크 누벅	[本物] マジシャウドソフトトートバッグプシアピンクヌバック	가방/지갑 > 여성가방 > 토트백 > 	Bag	bungae		"
🎯
 エヌリは拒絶です。 
🎯
 マジシャウドのシグネチャートートバッグサイズで収納も上手く、しなやかな革が高級感があり柔らかい 'ヌバックレザー' 特性上、新商品は現在ヴィンテージのように感じました。、 ヌバックレザーは汚れに強く使用感があるほど、むしろよりきれいです。（光に狂ったときに見える)->最後の写真確認 （価格反映完了) °サイズ: 25×15×9 
📍
安心決済•雷ケアだけです。 
📍
宅配便だけです。（+4000) 
📍
購入後エヌリ•交換•返金できません 
📍
アップロードされたものは販売中ですので、購入チャットのみください！

🎯 에누리는 거절이예요 🎯

마지셔우드의 시그니처 토트백 사이즈로 수납도 잘 되고 부들부들한 가죽이 고급스러워요 
부드러운 '누벅 가죽' 특성 상 새상품이 현재 빈티지한 느낌 그대로였으며, 누벅가죽은 오염에 강하고 사용감이 생길수록 오히려 더 예쁠거예요

°구매 후 2회 잠시 착용
°스트렙 뒷부분 보관상 미세 이염(빛에 미칠때 보임)->마지막 사진확인 (가격반영완료)
°사이즈:  25×15×9

📍안심결제•번개케어만 해요
📍택배거래만해요(+4000)
📍구매후 에누리•교환•환불 안되세요
📍업로드된건 판매중이니 구매채팅만주세요!"	cow leather		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/6e4f1ac4-1e6f-4be8-a7ff-68f69b1aa725.jpg	12	80000.0	8209.0	https://m.bunjang.co.kr/products/329295059	1.005	39.5x25.5x16.0	39.5	25.5	16.0	39.5	25.5	16.0	0.016116	16115.999999999998	16.116	2.686	0.8	20.0	10.0	15.0	20.0	15.0	10.0	0.003	3000.0	3.0			-0.2039800995024874	-0.813849590469099	-0.4936708860759494	-0.4117647058823529	-0.375	-0.4268118639861007	2025-05-28 08:23:26	2025-05-31 05:02:04.502	1-2kg
250516EA870375	746e055b-feb2-4df2-8e73-1bfd83ed2764	9b2457cd-f44c-4974-bdee-3b35ba23fb2c	a9cd4dc5-aec1-4dec-9b8f-540caad30cdc	구찌 토트백	グッチトートバッグ	가방/지갑 > 여성가방 > 토트백 > 	Bag	bungae		"本物のグッチトートバッグサイズ35 /24 / 12 内部の移染なしで価格対照状態 いいです ダストバックあります クロス紐がなく安く送ります *正規品以外の場合を除き返金不可。

정품 구찌 토트백

사이즈 35 /24 / 12

내부 이염 없으며 가격대비 상태 좋아요

더스트백 있어요

크로스끈 없어 저렴히 보내요 

별도구매 사용하시면 됩니다

*정품이 아닌 경우를 제외하고 환불 불가입니다."	Cowhide		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/a9cd4dc5-aec1-4dec-9b8f-540caad30cdc.jpg	11	240060.0	24631.0	https://m.bunjang.co.kr/products/327057516	1.075	37.7x24.6x16.1	37.7	24.6	16.1	37.7	24.6	16.1	0.014931462	14931.462000000003	14.931462000000003	2.489	0.8	30.0	10.0	25.0	30.0	25.0	10.0	0.0075	7500.0	7.5			-0.255813953488372	-0.4977049132898039	-0.2042440318302388	0.0162601626016259	-0.3788819875776398	-0.1889552856020842	2025-05-23 17:57:03	2025-05-31 08:02:18.907	1-2kg
25051527DA3C32	48615ce6-b54e-4788-816f-03a5bca5557f	eb616295-bb67-4f25-b6ef-1a87a41dd644	f379f11c-2e55-419f-8c0c-e589ea07ffd2	투티에 파라렐토드&숄더백.실물이 더~멋짐	トゥティエパラレトド&ショルダーバッグ。実物はもっと~クール	가방/지갑 > 여성가방 > 토트백 > 	Bag	bungae		"サイズは写真をご覧くださいショルダーとトッド^^ 愛好家の方はとてもよく知られている高級必須です。、 製品を超えて高度になります、ドラマで女主協賛として持って来ました。^^

사이즈는 사진참고해주세요
숄더와토드로^^ 매니아분들 
너무잘아시는고급필백입니다
가죽이나, 제품 넘넘 고급집니다
모,드라마 에서여주협찬으로
들고나오시더라구요^^"	Cow Leather		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/f379f11c-2e55-419f-8c0c-e589ea07ffd2.jpg	5	250000.0	25651.0	https://m.bunjang.co.kr/products/294413024	2.005	43.3x29.3x21.6	43.3	29.3	21.6	43.3	29.3	21.6	0.027403704	27403.704	27.403704	4.567	0.8	20.0	10.0	15.0	20.0	15.0	10.0	0.003	3000.0	3.0			-0.600997506234414	-0.8905257479061954	-0.5381062355658198	-0.4880546075085324	-0.5370370370370371	-0.5210659600371298	2025-05-23 10:33:45	2025-05-31 05:00:37.874	2-5kg
2505182EBAA41A	f7bd22f8-96e5-4a9e-ae1f-16667b78132c	ed1f2603-daf9-4ae5-8f36-898718a61515	fa6d4de4-13be-4fd8-a387-f741de8d7ef6	사르투 타이 토트백 토프컬러 더스트백 포함	サルトタイトートバッグトープカラーダストバッグ付き	가방/지갑 > 여성가방 > 토트백 > 	Handbag	bungae		"1回着用しましたダストバッグ付き

1번 착용했습니다 더스트백 포함"	cow leather		4202211090	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/fa6d4de4-13be-4fd8-a387-f741de8d7ef6.jpg	7	130000.0	13339.0	https://m.bunjang.co.kr/products/334137015	1.0	39.9x30.1x10.6	39.9	30.1	10.6	39.9	30.1	10.6	0.0127304939999999	12730.494	12.730493999999998	2.122	0.8	20.0	10.0	15.0	20.0	15.0	10.0	0.003	3000.0	3.0			-0.1999999999999999	-0.7643453584754841	-0.4987468671679197	-0.5016611295681064	-0.0566037735849056	-0.3523372567736439	2025-05-23 09:23:12	2025-05-27 14:02:01.429	0.5-1kg
250517879545F0	56c57d0e-b0e6-46f2-9abc-e16617e99d27	fff09445-7fae-4981-98c7-be74f0001e71	e179bdea-42d6-4de9-a70d-5c0ff30d0537	(정품)펜디 가방 바게트백 맘마백 주카백	（本物)フェンディバッグバゲットバッグママバッグジュカバッグ	가방/지갑 > 여성가방 > 토트백 > 	Handbag	bungae		"フェンディバッグの中で最も人気のあるバッグです。 そのうち黒色なので実用性も高いです。！ 状態写真のようにとても良いです。 最後の隠しバックルだけが若干の使用感があります。。 スーツケース全体を整理するため、市世代に比べて非常に安く持ち上げて、！

펜디 가방 중 가장 인기 많은 가방입니다.
그 중 검정색이어서 더 실용도 높구요!
상태 사진과 같이 매우 좋습니다.
마지막 은장 버클만 약간의 사용감 있어요.

가방 전체적으로 정리하느라 시세대비 매우 저렴하게올려서 에눌 안받습니다!"	Cow letaher		4202211090	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/e179bdea-42d6-4de9-a70d-5c0ff30d0537.jpg	11	450000.0	46172.0	https://m.bunjang.co.kr/products/334030647	0.565	38.1x20.8x13.1	38.1	20.8	13.1	38.1	20.8	13.1	0.010381488	10381.488	10.381488	1.73	0.8	28.0	10.0	21.0	28.0	21.0	10.0	0.00588	5880.0	5.88			0.4159292035398232	-0.4336072054410697	-0.2650918635170604	0.0096153846153845	-0.2366412213740457	-0.1640392334252405	2025-05-23 09:23:12	2025-05-27 08:03:07.295	0.5-1kg
2505111BD4D138	f354025a-381a-4ada-90f0-8ee417c85802	8060ac46-8998-47a7-a8cb-f405632bffba	5f8dc4dd-3703-4633-ba01-9d59a8022e35	(새제품 커버 및 박스포함/ 정가329,000)오소이 폴더브로트백 데님	（新製品のカバーと箱を含む/ 定価329、000)オソイフォルダブロートバックデニム	가방/지갑 > 여성가방 > 토트백 > 	Handbag	bungae		"昨年の夏の購入製品、 一度も着用していない新製品ですカバーからボックスまで全て含まれています現在ネイバー最安値で他のカラー27万ウォン台確認されていますがこの商品は公ホームでのみ定価販売中であることがわかります 引越し荷物まとめで安く販売します！ ご連絡ください！ ☑️中古取引の特性上、交換払い戻しはできません ☑️直接取引はcuチュンランソンゲ公園店です /東名前駅前で欲しい！

작년도 여름 구매제품이나,
한번도 착용하지 않은 새제품입니다

커버부터 박스까지 모두 포함이구요

현재 네이버 최저가로 다른 컬러 27만원대 확인되지만
이 제품은 공홈에서만 정가 판매중인걸로 알아요

이사 짐 정리로 저렴하게 판매합니다!
연락주세요!


☑️중고거래 특성상 교환환불 불가합니다
☑️직거래는 cu중랑송계공원점 /동묘앞역 앞에서 원해요!"	cow leather, cotton		4202211090	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/5f8dc4dd-3703-4633-ba01-9d59a8022e35.jpg	6	125000.0	12826.0	https://m.bunjang.co.kr/products/298166780	2.005	47.9x38.3x30.3	47.9	38.3	30.3	47.9	38.3	30.3	0.0555874709999999	55587.47099999999	55.587470999999994	9.265	0.8	20.0	10.0	15.0	20.0	15.0	10.0	0.003	3000.0	3.0			-0.600997506234414	-0.9460310040008836	-0.5824634655532359	-0.6083550913838119	-0.66996699669967	-0.6202618512122392	2025-05-22 10:37:33	2025-05-25 05:03:31.376	2-5kg
250516B5A71412	4acbb510-6592-4725-b201-163bf7c2d554	6e007f2a-5c47-428a-8773-9048c83dc2f9	d54c6765-f297-4683-a190-a7712fe4539c	펜디 미니 쇼퍼백	フェンディミニショッパーバッグ	가방/지갑 > 여성가방 > 토트백 > 	Handbag	bungae		"免税店購入本物若干使用感がありますが清潔で状態いいです

면세점 구입정품
약간 사용감 있지만
깨끗하고 상태 좋아요"	Synthetic leather		4202211090	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/d54c6765-f297-4683-a190-a7712fe4539c.jpg	8	220000.0	22573.0	https://m.bunjang.co.kr/products/331624152	0.61	35.2x24.4x18.6	35.2	24.4	18.6	35.2	24.4	18.6	0.015975168	15975.168	15.975168000000002	2.663	0.4	18.0	8.0	21.0	21.0	18.0	8.0	0.003024	3024.0	3.024			-0.3442622950819671	-0.8107062160473054	-0.4034090909090909	-0.2622950819672131	-0.5698924731182796	-0.4118655486648612	2025-05-22 10:37:33	2025-05-28 11:08:35.915	0.5-1kg
250508757F1899	eae909f8-1b08-4f8e-87e1-47eadb8975e1	d4dc75d3-a372-408c-aa8c-1f1da06a3170	7e5453ef-e218-4219-b7f1-55cae92a2dc2	펜디 패브릭 미니 보스턴백	フェンディファブリックミニボストンバッグ	가방/지갑 > 여성가방 > 토트백 > 	Bag	bungae		"歳月の痕跡はありますが、、 目立つ耳炎はありません。 要塞にぴったりなサイズのトートバッグです。

세월의 흔적은 있지만, 눈에띄는 이염은 없습니다. 요새 딱 들기좋은 크기의 토트백입니다."	Cotton		4202999000	https://sazo-qa-ai-resources.s3.ap-northeast-2.amazonaws.com/img/7e5453ef-e218-4219-b7f1-55cae92a2dc2.jpg	1	180000.0	18469.0	https://m.bunjang.co.kr/products/329698561	0.94	32.0x25.9x20.6	32.0	25.9	20.6	32.0	25.9	20.6	0.01707328	17073.28	17.07328	2.846	0.8	20.0	10.0	15.0	20.0	15.0	10.0	0.003	3000.0	3.0			-0.1489361702127658	-0.8242868388499456	-0.375	-0.4208494208494208	-0.5145631067961165	-0.4368041758818458	2025-05-20 08:58:12	2025-05-27 14:02:55.308	0.5-1kg
