order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
2511217692B250	G-DRAGON Ubermensch Official Mini Light Keyring Red - China Exclusive	accessories	20x10x5	20x10x5	0.15	20.0	10.0	5.0	Mini keyring is small but requires a minimum box size for protection. Light plastic material keeps the weight low.
251115E00294FD	Casio MTP-B185D-2A2V	accessories	20x15x8	20x15x8	0.25	20.0	15.0	8.0	The watch is small and requires minimal padding. Standard box size for accessories like watches.
251125534778AD	제로니 맥세이프 그립톡 홀더 스마트톡 자석 탈부착 거치대	디지털/가전>휴대폰액세서리>휴대폰거치대	10x10x2	18x15x5	0.15	18.0	15.0	5.0	The product is a small grip holder, requiring minimal padding. Despite being small, it needs a slightly larger box for protection.
251125A8D2EA59	프린세스 캐치티니핑 프린세스 팩트 티니핑 프린세스팩트	장난감>인형>코디북	30x20x10	30x20x10	0.8	30.0	20.0	10.0	The product is a toy set with multiple components, requiring a box that accommodates the items and padding. The weight accounts for the plastic materials and packaging.
2511238B5E5178	루미너스 아쿠아 다이렉트 대용량 갤런 세라믹 세척 코팅제 퀵디테일러 자동차 습식코팅제 관리제 4L	생활/건강>자동차용품>세차용품>도장용광택/코팅제	25x15x30	25x15x30	4.5	25.0	15.0	30.0	4L ceramic coating product in a rigid container. The box size accommodates the container and protective padding.
251125CFD8616D	(포토카드 6장 포함) BOYNEXTDOOR 보이넥스트도어 공식 응원봉 보넥도 응원봉	생활/건강>수집품>아이돌굿즈>응원봉	25x10x10	25x10x10	0.5	25.0	10.0	10.0	The lightstick is compact but requires protective packaging. The additional weight accounts for the included photocards and the solid construction of the lightstick.
251124C9A34411	버디즈 보조배터리 멍몽이 카몽이 위시 세트 강아지 인형 키링 미니 4500mAh 귀여운 선물	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	20x15x10	20x15x10	0.25	20.0	15.0	10.0	Mini plush keyring figures with a built-in power bank. Requires minimal padding, but the plush material adds some weight.
251118B6F5ABB2	Ex Nihilo Blue Talisman Eau De Parfum 50ml	life	12x8x15	15x10x20	0.45	15.0	10.0	20.0	Eau de parfum bottle is compact but requires protective packaging. Fragile glass adds weight.
2511224831DDA0	지디 피스마이너스원(PMO) 한정판 인이어	디지털 > 오디오/영상/관련기기 > 헤드폰 > 	25x20x10	25x20x10	0.5	25.0	20.0	10.0	In-ear headphones typically come in a compact box, but require padding for protection. Estimated weight includes the product and packaging.
25112066ABABEF	아이들 전시회 7주년 MD 미개봉 세트 맥세이프 카드지갑	스타굿즈 > 걸그룹 > 팬시/포토카드 > 	20x15x5	20x15x5	0.25	20.0	15.0	5.0	The set includes a card wallet and a photo card set, requiring minimal padding. The items are lightweight and fit within a compact box.
25112429810652	최강공룡 미니특공대 그레이트 렉스카이저 D9 썬더티라 버닝케라	출산/육아>완구/인형>작동완구>로봇	45x35x25	45x35x25	3.8	45.0	35.0	25.0	Large robot toy with multiple components and mechanisms. Robot toys typically weigh 2-5kg due to motors and materials.
2511210079630C	버디즈 보조배터리 멍몽이 카몽이 위시 세트 강아지 인형 키링 미니 4500mAh 귀여운 선물	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	20x15x10	20x15x10	0.25	20.0	15.0	10.0	Mini plush keyring figures with a built-in power bank. Requires minimal padding, but the plush material adds some weight.
251121DC9D8EDC	다트비트 DBH100 스마트 홈다트 전자다트	생활/건강>수집품>게임>다트	45x45x5	50x50x10	1.5	50.0	50.0	10.0	Electronic dartboard is relatively flat but requires a larger box for protection. Estimated weight includes the board and additional components.
251120E10ABD98	런쥔 향수 양도	스타굿즈 > 보이그룹 > 의류/패션잡화 > 	10x10x15	12x12x18	0.25	12.0	12.0	18.0	30ml perfume bottle requires protective packaging. The box is slightly larger to accommodate padding.
2511227707F25C	R TRUNK 953 FRAME ep.3 20인치 (37L) [5color]	가방 > 캐리어	45x35x20	47x37x22	3.5	47.0	37.0	22.0	20-inch carry-on suitcase with a capacity of 37L. Requires additional space for wheels and handle, hence the larger box size.
2511244987E0C3	밀워키 C12 RT 12V 충전 로터리툴 미니 전동 드릴 드라이버 만능툴 베어툴	생활/건강>공구>전동공구>충전드릴	30x10x10	35x15x15	1.2	35.0	15.0	15.0	The rotary tool is compact but requires additional space for padding and accessories. The weight accounts for the tool's motor and battery.
251122DA2F6E31	[뷰티디바이스1위] [광채토닝] 메디큐브 에이지알 부스터프로 마이멜로디 에디션 기획세트	기초화장품>스킨케어>스킨케어기기	25x15x10	30x20x15	0.6	30.0	20.0	15.0	The beauty device is likely around 20cm in length and requires additional padding for protection. The weight includes the device and packaging.
251117330F0D9A	크리드 어벤투스 오드 퍼퓸 100ml 크리드 어벤투스 오드 퍼퓸 100ml	화장품/향수 > 향수 > 남성향수	15x10x10	20x15x15	0.45	20.0	15.0	15.0	100ml perfume bottle is compact but requires protective packaging. Fragile glass adds weight.
251119C7B8AB3C	블루크로스 큐티클 리무버 32oz / 946ml	화장품/미용>네일케어>네일케어도구	10x10x25	12x12x28	1.1	12.0	12.0	28.0	The cuticle remover bottle is approximately 25cm tall and requires additional space for padding. The liquid content adds weight, making it heavier than it appears.
2511195CC263DC	버디즈 보조배터리 고양이 4종 행운 세트 삼색냥 4500mAh 케이블 미니 코숏 귀여운 선물 럭키냥	휴대폰/액세서리>휴대폰주변용품>보조/전용배터리	25x20x15	25x20x15	0.5	25.0	20.0	15.0	Set of four mini plush cat power banks. Requires a box larger than the product for padding, and the weight includes the battery components.
