order_id	title_origin	category	new_volume	new_packed_volume	new_weight_kg	new_width_cm	new_depth_cm	new_height_cm	new_reason
2505244146A327	(미개봉) 니케 디저트39 신데렐라 무드등 동D 포토카드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x10	25x20x10	0.5	25.0	20.0	10.0	The product includes a photo card and a light, requiring a box that accommodates both items with padding. The weight accounts for the light's materials and packaging.
250529C04B62C4	이착헌 이세계착각헌터 정하성 멍하성 헌터증 아크릴스탠드 일괄 판매	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	30x25x10	30x25x10	0.6	30.0	25.0	10.0	The set includes a plush doll, acrylic stand, and cards, requiring a box larger than the plush for protection. The combined weight of the items suggests a moderate shipping weight.
250525AC4A552E	[미개봉] 40cm 앙스타인형 카제하야 타츠미 앙스타 누이 타츠미 파샤	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	45x30x25	45x30x25	0.6	45.0	30.0	25.0	The 40cm plush doll requires a larger box for protection and padding. Plush toys are typically light but need sufficient space to avoid compression.
250519565F3BDC	에이스테 에일리언 스테이지 루카 토끼 아크릴 이반 틸 미지 수아 루카	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x2	22x17x5	0.15	22.0	17.0	5.0	Acrylic figure is relatively flat and light, requiring minimal padding. Standard box size for protection.
250521EE7ADD74	맘스터치 스타레일 트리비 아글라이아 코롯토	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x5	20x15x5	0.25	20.0	15.0	5.0	The product includes a figure and cards, requiring minimal padding. The size is compact, fitting within standard dimensions for small collectibles.
25051671E520DA	승리의여신 니케 아크릴스탠드 3종선택	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x5	20x15x5	0.25	20.0	15.0	5.0	Acrylic stand is relatively flat and lightweight. Minimal padding needed for protection.
2505164B0073EE	일괄 딸기 가나디 고냐니 키링	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x10	20x15x10	0.25	20.0	15.0	10.0	The keyrings are small plush toys, requiring minimal padding. Estimated weight includes light plush material.
25042501728C0D	주술회전 애니메이트 카페 시부야 쵸소우 유지 아크릴 포토카드 특전 굿즈	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	22x16x5	22x16x5	0.25	22.0	16.0	5.0	The set includes acrylic photo cards and keychains, which are lightweight but require protective packaging. The dimensions account for the cards and their protective cases.
2504220F84D79A	가비지타임 피규어 판매	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x15x10	25x15x10	0.5	25.0	15.0	10.0	Two figurines likely around 10-15cm tall, requiring minimal padding. Light plastic material.
250502A2415DEA	오란고교 타마키 아크릴 +코스터	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x5	25x20x5	0.25	25.0	20.0	5.0	Acrylic figure and coaster set is relatively flat and lightweight. Standard box size accommodates protective packaging.
2504274FD17A02	명조 음림 아크릴 양도	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x5	25x20x5	0.3	25.0	20.0	5.0	Acrylic figure typically requires minimal padding but needs a box to prevent damage. Estimated weight includes the figure and light packaging.
250430C97EB0EB	닌타마 케마 토메사부로 캔뱃지 5개	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x2	20x15x5	0.25	20.0	15.0	5.0	Set of 5 heart-shaped badges, requiring minimal padding. Light due to material, but needs a small box for protection.
2505044CC73DD0	급처] 닌타마 (닌자보이 란타로) 굿즈 일괄 판매	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	40x30x20	40x30x20	1.5	40.0	30.0	20.0	Set of plush dolls, which are light but require a larger box for protection. Estimated weight accounts for multiple plush figures.
250429B2E4FD0D	챠라란란 도리벤 하이타니 란 속성솜 누이 인형	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	30x20x15	32x22x17	0.5	32.0	22.0	17.0	The plush doll is approximately 30cm tall and requires extra padding for protection. Plush toys are typically light despite their size.
250426920B59E7	닌타마 오하마 칸에몽 만쥬, 누이	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x15	25x20x15	0.4	25.0	20.0	15.0	Two plush figures that require a larger box for protection. Light despite size, typical for plush toys.
250420165864D8	밀키하트님 마지막 피크닉 동화림 팝업 한정 아크릴 스탠드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x5	20x15x5	0.15	20.0	15.0	5.0	Acrylic stand is relatively flat and lightweight. Minimal padding needed for protection.
25042322143B84	[저주토라] 도리벤 속성 비공식 솜인형 카즈토라 10cm	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x10	20x15x10	0.25	20.0	15.0	10.0	10cm plush doll requires a box slightly larger than the product to avoid compression. Light due to plush material.
2504200921ABE1	블루아카이브 데빌24 세이아 나기사 등 아크릴 스탠드 일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x5	25x20x5	0.3	25.0	20.0	5.0	Acrylic stands are typically lightweight but require protective packaging. The dimensions account for multiple stands and their bases.
250419E3546405	블루아카이브 나기사,미카,세이야 아크릴스탠드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x5	25x20x5	0.3	25.0	20.0	5.0	Acrylic stands are typically flat but require protective packaging. The set includes multiple figures, adding to the weight.
250420A39BB88E	10cm 솜인형 에필 라떼	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x15	25x20x15	0.25	25.0	20.0	15.0	10cm plush doll requires a box larger than the product to avoid compression. Light despite size, typical for plush toys.
250411813CA1B6	디스러브 모펀 아크릴스탠드 원가 이하 양도해요!	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x5	25x20x5	0.3	25.0	20.0	5.0	Acrylic stand is relatively flat and lightweight, requiring minimal padding. Standard box size for protection.
25041341FC4A04	사용 후 반품불가 미갱 비온 카페 메이드 아크릴 스탠드 1차비엘 비엘	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x5	25x20x5	0.25	25.0	20.0	5.0	Acrylic stand is relatively flat but requires protective packaging. Light weight due to acrylic material.
2504010584D37F	가비지타임 최종수 굿즈 일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	40x30x15	40x30x15	1.2	40.0	30.0	15.0	This set includes multiple plush dolls and accessories, requiring a larger box for protection. The combined weight of the items suggests a total of around 1.2kg.
2503293C249E28	꿈빛파티시엘 꿈파 팝업 원가온 아크릴 스탠드+ 안도하 색지일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x2	22x17x5	0.15	22.0	17.0	5.0	Acrylic stand is relatively flat and lightweight, requiring a slightly larger box for protection and padding.
2503224D6AAB1D	햄팡 라오루 글로리아 아크릴 일괄	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x5	20x15x5	0.25	20.0	15.0	5.0	Acrylic figures are typically lightweight but require protective packaging. The dimensions account for the flat nature of the items.
250317DDC15060	우블 레브리 올인	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	30x20x15	30x20x15	0.5	30.0	20.0	15.0	The product consists of plush dolls, which are light but require a larger box for protection. Estimated weight accounts for the plush material.
2503036A16EF13	케리아 keria 선수 생일 엽서 키링 미개봉 원가양도 합니다	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x2	20x15x2	0.15	20.0	15.0	2.0	The product includes a postcard and a keyring, which are lightweight but require a minimum box size for protection. The total weight is light due to the materials used.
2503102A500D16	슬램덩크 락태웅 10깅 뼈깅 양도	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	30x20x15	30x20x15	0.4	30.0	20.0	15.0	Plush doll with clothing requires a box larger than the product to avoid compression. Light despite size.
2501096FEF41CB	하이큐 카게야마 점페 한정 아크릴	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	15x15x2	18x18x5	0.1	18.0	18.0	5.0	Acrylic figure is small and flat, requiring minimal padding. Standard box size for protection.
25030177281EE5	데못죽 김래빈 래빈 공식 인형 솜인형 아크릴 스탠드 로판 대만판 포카	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	30x25x15	30x25x15	0.8	30.0	25.0	15.0	Includes a plush doll and several acrylic stands and cards. The plush requires a larger box for protection, and the total weight accounts for the density of the materials.
2503064DFB557F	블루아카이브(비공식) 사오리 수영복 아크릴스탠드 팝니다.	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x5	20x15x5	0.25	20.0	15.0	5.0	Acrylic stand is relatively flat and lightweight, requiring minimal padding. Standard box size for protection.
250303204F3D4B	(AR카드,부채증정)푸바오 동생 루이후이 유치원 인형[바오패밀리]	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	30x20x15	30x20x15	0.6	30.0	20.0	15.0	The product includes two plush panda dolls, which require a larger box for protection. The weight accounts for the plush material and packaging.
250224CB79D1E1	DJMAX 하이츠 버전 엘 클리어 아크릴 스탠드	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x5	20x15x5	0.25	20.0	15.0	5.0	Acrylic stand is relatively flat and lightweight, requiring minimal padding. Standard box size for protection.
250219B7989E4E	팀레진 백라이트 뽀시래기 인형	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x10	25x20x10	0.25	25.0	20.0	10.0	Two plush dolls that are relatively small but require protective packaging. Light due to plush material.
250217723FD53C	슬램덩크 멍냥찌코 정우성, 서태웅	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x15	25x20x15	0.25	25.0	20.0	15.0	Plush dolls are light but require a standard box size for protection. Estimated weight accounts for the soft material.
25021306AA72D7	플레이브 밤비 인형 와슴이 10cm	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	20x15x10	20x15x10	0.25	20.0	15.0	10.0	The 10cm plush doll requires a box larger than the product to avoid compression. It is light due to its soft material.
2502100FEEA66E	슬램덩크 중국한정 토에이샵 공식 아크릴 스탠드 서태웅 루카와 카에데	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	25x20x5	25x20x5	0.25	25.0	20.0	5.0	Acrylic stand is relatively flat but requires protective packaging. Light weight due to acrylic material.
2501316A59BDDC	기물들의세계 투니크 아크릴 굿즈 일괄 (특전포함)	스타굿즈 > 방송/예능/캐릭터 > 인형/피규어 > 	30x25x5	30x25x5	0.5	30.0	25.0	5.0	This set includes various acrylic goods and cards, which are lightweight but require a box to prevent damage. The total weight accounts for multiple items and protective packaging.
